#{"t_start": 1713166468.71797, "env_id": "None"}
r,l,t
7.259813,2757,1925.214244
7.4363,2757,1927.795062
7.4363,2757,1929.453356
7.4363,2757,1931.040014
7.4363,2757,1932.61032
7.4363,2757,1934.141033
6.16937,2757,1936.63813
6.16937,2757,1938.237249
6.16937,2757,1939.835993
6.16937,2757,1941.450554
6.16937,2757,1943.078499
7.186888,2757,1945.509335
7.186888,2757,1947.026308
7.186888,2757,1948.840868
7.186888,2757,1950.513424
7.186888,2757,1952.131475
7.747423,2757,1954.55355
7.747423,2757,1956.087406
7.747423,2757,1957.621152
7.747423,2757,1959.315142
7.747423,2757,1961.013688
5.494081,2757,1963.57176
5.494081,2757,1965.181622
5.494081,2757,1966.775966
5.494081,2757,1968.392117
5.494081,2757,1969.994906
6.722045,2757,1972.520222
6.722045,2757,1974.438681
6.722045,2757,1976.017224
6.722045,2757,1977.592201
6.722045,2757,1979.227534
5.519781,2757,1981.734866
5.519781,2757,1983.432442
5.519781,2757,1985.185631
5.519781,2757,1986.790727
5.519781,2757,1988.433311
5.784682,2757,1991.245706
5.784682,2757,1993.012025
5.784682,2757,1994.641022
5.784682,2757,1996.408968
5.784682,2757,1998.016125
